chr	start	end	Gene	Genomic coordinates (hg19)	GC	meanMappability	Mim Number	MIM Phenotypes	MIM Inheritance
chr1	16354316	16354400	CLCNKA	chr1:16354316-16354400	0.552941176	0.5	602024	"Bartter syndrome, type 4b, digenic, 613090 (3)"	Digenic recessive
chr1	16355621	16355794	CLCNKA	chr1:16355621-16355794	0.597701149	0.66474	602024	"Bartter syndrome, type 4b, digenic, 613090 (3)"	Digenic recessive
chr1	16356956	16357169	CLCNKA	chr1:16356956-16357169	0.61682243	0.673709	602024	"Bartter syndrome, type 4b, digenic, 613090 (3)"	Digenic recessive
chr1	16374838	16374915	CLCNKB	chr1:16374838-16374915	0.653846154	0.688312	602023	"Bartter syndrome, type 3, 607364 (3)/ Bartter syndrome, type 4b, digenic, 613090 (3)"	AR/Digenic recessive
chr1	16374999	16375077	CLCNKB	chr1:16374999-16375077	0.594936709	0.653846	602023	"Bartter syndrome, type 3, 607364 (3)/ Bartter syndrome, type 4b, digenic, 613090 (3)"	AR/Digenic recessive
chr1	16376113	16376197	CLCNKB	chr1:16376113-16376197	0.552941176	0.5	602023	"Bartter syndrome, type 3, 607364 (3)/ Bartter syndrome, type 4b, digenic, 613090 (3)"	AR/Digenic recessive
chr1	16377370	16377543	CLCNKB	chr1:16377370-16377543	0.603448276	0.66474	602023	"Bartter syndrome, type 3, 607364 (3)/ Bartter syndrome, type 4b, digenic, 613090 (3)"	AR/Digenic recessive
chr1	16378693	16378906	CLCNKB	chr1:16378693-16378906	0.626168224	0.673709	602023	"Bartter syndrome, type 3, 607364 (3)/ Bartter syndrome, type 4b, digenic, 613090 (3)"	AR/Digenic recessive
chr1	22404972	22405076	CDC42	chr1:22404972-22405076	0.40952381	0.673878	116952	"Takenouchi-Kosaki syndrome, 616737 (3)"	
chr1	22408215	22408287	CDC42	chr1:22408215-22408287	0.383561644	0.699074	116952	"Takenouchi-Kosaki syndrome, 616737 (3)"	
chr1	22412932	22413041	CDC42	chr1:22412932-22413041	0.390909091	0.622324	116952	"Takenouchi-Kosaki syndrome, 616737 (3)"	
chr1	22413162	22413359	CDC42	chr1:22413162-22413359	0.474747475	0.616751	116952	"Takenouchi-Kosaki syndrome, 616737 (3)"	
chr1	22417921	22418010	CDC42	chr1:22417921-22418010	0.5	0.567416	116952	"Takenouchi-Kosaki syndrome, 616737 (3)"	
chr1	25689018	25689044	RHCE	chr1:25689018-25689044	0.333333333	0.5	111700	"[Blood group, Rhesus], 111690 (3)/ Rh-null disease, amorph type (3)"	
chr1	25701840	25701919	RHCE	chr1:25701840-25701919	0.5625	0.607595	111700	"[Blood group, Rhesus], 111690 (3)/ Rh-null disease, amorph type (3)"	
chr1	25715467	25715604	RHCE	chr1:25715467-25715604	0.623188406	0.583942	111700	"[Blood group, Rhesus], 111690 (3)/ Rh-null disease, amorph type (3)"	
chr1	25747130	25747277	RHCE	chr1:25747130-25747277	0.533783784	0.619048	111700	"[Blood group, Rhesus], 111690 (3)/ Rh-null disease, amorph type (3)"	
chr1	26128507	26128608	SEPN1	chr1:26128507-26128608	0.568627451	0.660066	606210	"Muscular dystrophy, rigid spine, 1, 602771 (3)/ Myopathy, congenital, with fiber-type disproportion, 255310 (3)"	"AR/AR, AD"
chr1	33486968	33487062	AK2	chr1:33486968-33487062	0.463157895	0.648936	103020	"Reticular dysgenesis, 267500 (3)"	AR
chr1	33487194	33487304	AK2	chr1:33487194-33487304	0.477477477	0.606061	103020	"Reticular dysgenesis, 267500 (3)"	AR
chr1	33490043	33490168	AK2	chr1:33490043-33490168	0.515873016	0.626667	103020	"Reticular dysgenesis, 267500 (3)"	AR
chr1	33502337	33502429	AK2	chr1:33502337-33502429	0.688172043	0.722826	103020	"Reticular dysgenesis, 267500 (3)"	AR
chr1	93298946	93299015	RPL5	chr1:93298946-93299015	0.357142857	0.519324	603634	"Diamond-Blackfan anemia 6, 612561 (3)"	AD
chr1	93300336	93300470	RPL5	chr1:93300336-93300470	0.511111111	0.685945	603634	"Diamond-Blackfan anemia 6, 612561 (3)"	AD
chr1	93301747	93301949	RPL5	chr1:93301747-93301949	0.492610837	0.528878	603634	"Diamond-Blackfan anemia 6, 612561 (3)"	AD
chr1	93303013	93303190	RPL5	chr1:93303013-93303190	0.398876404	0.570151	603634	"Diamond-Blackfan anemia 6, 612561 (3)"	AD
chr1	93306108	93306196	RPL5	chr1:93306108-93306196	0.382022472	0.483902	603634	"Diamond-Blackfan anemia 6, 612561 (3)"	AD
chr1	93307323	93307422	RPL5	chr1:93307323-93307422	0.54	0.70202	603634	"Diamond-Blackfan anemia 6, 612561 (3)"	AD
chr1	117149114	117149173	IGSF3	chr1:117149114-117149173	0.566666667	0.677966	603491	"?Lacrimal duct defect, 149700 (3)"	AR
chr1	117158702	117159079	IGSF3	chr1:117158702-117159079	0.55026455	0.552829	603491	"?Lacrimal duct defect, 149700 (3)"	AR
chr1	120539620	120539955	NOTCH2	chr1:120539620-120539955	0.553571429	0.708955	600275	"Alagille syndrome 2, 610205 (3)/ Hajdu-Cheney syndrome, 102500 (3)"	AD
chr1	120547952	120548211	NOTCH2	chr1:120547952-120548211	0.55	0.625483	600275	"Alagille syndrome 2, 610205 (3)/ Hajdu-Cheney syndrome, 102500 (3)"	AD
chr1	120572529	120572610	NOTCH2	chr1:120572529-120572610	0.451219512	0.5	600275	"Alagille syndrome 2, 610205 (3)/ Hajdu-Cheney syndrome, 102500 (3)"	AD
chr1	145508207	145508284	RBM8A	chr1:145508207-145508284	0.615384615	0.720779	605313	"Thrombocytopenia-absent radius syndrome, 274000 (3)"	AR
chr1	145509166	145509211	RBM8A	chr1:145509166-145509211	0.630434783	0.5	605313	"Thrombocytopenia-absent radius syndrome, 274000 (3)"	AR
chr1	152275176	152287223	FLG	chr1:152275176-152287223	0.553452855	0.712792	135940	"{Dermatitis, atopic, susceptibility to, 2}, 605803 (3)/ Ichthyosis vulgaris, 146700 (3)"	/AD
chr1	153963591	153963699	RPS27	chr1:153963591-153963699	0.504587156	0.330247	603702	"?Diamond-Blackfan anemia 17, 617409 (3)"	AD
chr1	153964042	153964152	RPS27	chr1:153964042-153964152	0.486486486	0.322727	603702	"?Diamond-Blackfan anemia 17, 617409 (3)"	AD
chr1	153964541	153964569	RPS27	chr1:153964541-153964569	0.482758621	0.0982143	603702	"?Diamond-Blackfan anemia 17, 617409 (3)"	AD
chr1	154145384	154145454	TPM3	chr1:154145384-154145454	0.535211268	0.716667	191030	"CAP myopathy 1, 609284 (3)/ Myopathy, congenital, with fiber-type disproportion, 255310 (3)/ Nemaline myopathy 1, AD or recessive, 609284 (3)"	"AR, AD"
chr1	154145560	154145677	TPM3	chr1:154145560-154145677	0.406779661	0.58547	191030	"CAP myopathy 1, 609284 (3)/ Myopathy, congenital, with fiber-type disproportion, 255310 (3)/ Nemaline myopathy 1, AD or recessive, 609284 (3)"	"AR, AD"
chr1	155204786	155204891	GBA	chr1:155204786-155204891	0.547169811	0.5	606463	"Gaucher disease, perinatal lethal, 608013 (3)/ Gaucher disease, type I, 230800 (3)/ Gaucher disease, type II, 230900 (3)/ Gaucher disease, type III, 231000 (3)/ Gaucher disease, type IIIC, 231005 (3)/ {Lewy body dementia, susceptibility to}, 127750 (3)/ {Parkinson disease, late-onset, susceptibility to}, 168600 (3)"	"AR/AR/AR/AR/AR/AD/Isolated cases, Multifactorial"
chr1	155204986	155205102	GBA	chr1:155204986-155205102	0.581196581	0.74569	606463	"Gaucher disease, perinatal lethal, 608013 (3)/ Gaucher disease, type I, 230800 (3)/ Gaucher disease, type II, 230900 (3)/ Gaucher disease, type III, 231000 (3)/ Gaucher disease, type IIIC, 231005 (3)/ {Lewy body dementia, susceptibility to}, 127750 (3)/ {Parkinson disease, late-onset, susceptibility to}, 168600 (3)"	"AR/AR/AR/AR/AR/AD/Isolated cases, Multifactorial"
chr1	155207132	155207369	GBA	chr1:155207132-155207369	0.558823529	0.601266	606463	"Gaucher disease, perinatal lethal, 608013 (3)/ Gaucher disease, type I, 230800 (3)/ Gaucher disease, type II, 230900 (3)/ Gaucher disease, type III, 231000 (3)/ Gaucher disease, type IIIC, 231005 (3)/ {Lewy body dementia, susceptibility to}, 127750 (3)/ {Parkinson disease, late-onset, susceptibility to}, 168600 (3)"	"AR/AR/AR/AR/AR/AD/Isolated cases, Multifactorial"
chr1	155208308	155208441	GBA	chr1:155208308-155208441	0.514925373	0.631579	606463	"Gaucher disease, perinatal lethal, 608013 (3)/ Gaucher disease, type I, 230800 (3)/ Gaucher disease, type II, 230900 (3)/ Gaucher disease, type III, 231000 (3)/ Gaucher disease, type IIIC, 231005 (3)/ {Lewy body dementia, susceptibility to}, 127750 (3)/ {Parkinson disease, late-onset, susceptibility to}, 168600 (3)"	"AR/AR/AR/AR/AR/AD/Isolated cases, Multifactorial"
chr1	155210421	155210508	GBA	chr1:155210421-155210508	0.534090909	0.712644	606463	"Gaucher disease, perinatal lethal, 608013 (3)/ Gaucher disease, type I, 230800 (3)/ Gaucher disease, type II, 230900 (3)/ Gaucher disease, type III, 231000 (3)/ Gaucher disease, type IIIC, 231005 (3)/ {Lewy body dementia, susceptibility to}, 127750 (3)/ {Parkinson disease, late-onset, susceptibility to}, 168600 (3)"	"AR/AR/AR/AR/AR/AD/Isolated cases, Multifactorial"
chr1	155289585	155289719	FDPS	chr1:155289585-155289719	0.533333333	0.715796	134629	"Porokeratosis 9, multiple types, 616631 (3)"	AD
chr1	155580040	155580123	MSTO1	chr1:155580040-155580123	0.666666667	0.5	617619	"Myopathy, mitochondrial, and ataxia, 617675 (3)"	"AR, AD"
chr1	155580216	155580351	MSTO1	chr1:155580216-155580351	0.669117647	0.5	617619	"Myopathy, mitochondrial, and ataxia, 617675 (3)"	"AR, AD"
chr1	155580830	155580899	MSTO1	chr1:155580830-155580899	0.471428571	0.5	617619	"Myopathy, mitochondrial, and ataxia, 617675 (3)"	"AR, AD"
chr1	155581007	155581082	MSTO1	chr1:155581007-155581082	0.5	0.5	617619	"Myopathy, mitochondrial, and ataxia, 617675 (3)"	"AR, AD"
chr1	155581340	155581394	MSTO1	chr1:155581340-155581394	0.509090909	0.5	617619	"Myopathy, mitochondrial, and ataxia, 617675 (3)"	"AR, AD"
chr1	155581480	155581618	MSTO1	chr1:155581480-155581618	0.532374101	0.5	617619	"Myopathy, mitochondrial, and ataxia, 617675 (3)"	"AR, AD"
chr1	155581774	155581891	MSTO1	chr1:155581774-155581891	0.542372881	0.5	617619	"Myopathy, mitochondrial, and ataxia, 617675 (3)"	"AR, AD"
chr1	155581973	155582107	MSTO1	chr1:155581973-155582107	0.585185185	0.708955	617619	"Myopathy, mitochondrial, and ataxia, 617675 (3)"	"AR, AD"
chr1	155582635	155582766	MSTO1	chr1:155582635-155582766	0.545454545	0.591603	617619	"Myopathy, mitochondrial, and ataxia, 617675 (3)"	"AR, AD"
chr1	155582840	155583024	MSTO1	chr1:155582840-155583024	0.578378378	0.586957	617619	"Myopathy, mitochondrial, and ataxia, 617675 (3)"	"AR, AD"
chr1	155583253	155583357	MSTO1	chr1:155583253-155583357	0.552380952	0.5	617619	"Myopathy, mitochondrial, and ataxia, 617675 (3)"	"AR, AD"
chr1	155583448	155583557	MSTO1	chr1:155583448-155583557	0.6	0.5	617619	"Myopathy, mitochondrial, and ataxia, 617675 (3)"	"AR, AD"
chr1	155583850	155584064	MSTO1	chr1:155583850-155584064	0.6	0.5	617619	"Myopathy, mitochondrial, and ataxia, 617675 (3)"	"AR, AD"
chr1	155631098	155631214	YY1AP1	chr1:155631098-155631214	0.461538462	0.5	607860	"Grange syndrome, 602531 (3)"	AR
chr1	155642351	155642522	YY1AP1	chr1:155642351-155642522	0.48255814	0.567251	607860	"Grange syndrome, 602531 (3)"	AR
chr1	155649200	155649303	YY1AP1	chr1:155649200-155649303	0.509615385	0.723301	607860	"Grange syndrome, 602531 (3)"	AR
chr1	160105224	160105392	ATP1A2	chr1:160105224-160105392	0.591715976	0.713294	182340	"Alternating hemiplegia of childhood, 104290 (3)/ Migraine, familial basilar, 602481 (3)/ Migraine, familial hemiplegic, 2, 602481 (3)"	AD
chr1	161310384	161310445	SDHC	chr1:161310384-161310445	0.548387097	0.693989	602413	"Gastrointestinal stromal tumor, 606764 (3)/ Paraganglioma and gastric stromal sarcoma, 606864 (3)/ Paragangliomas 3, 605373 (3)"	"AD, Isolated cases//AD"
chr1	161326467	161326630	SDHC	chr1:161326467-161326630	0.5	0.741309	602413	"Gastrointestinal stromal tumor, 606764 (3)/ Paraganglioma and gastric stromal sarcoma, 606864 (3)/ Paragangliomas 3, 605373 (3)"	"AD, Isolated cases//AD"
chr1	161332119	161332223	SDHC	chr1:161332119-161332223	0.523809524	0.413462	602413	"Gastrointestinal stromal tumor, 606764 (3)/ Paraganglioma and gastric stromal sarcoma, 606864 (3)/ Paragangliomas 3, 605373 (3)"	"AD, Isolated cases//AD"
chr1	161476124	161476381	FCGR2A	chr1:161476124-161476381	0.593023256	0.653697	146790	"{Lupus nephritis, susceptibility to}, 152700 (3)/ {Malaria, severe, susceptibility to}, 611162 (3)/ {Pseudomonas aeruginosa, susceptibility to chronic infection by, in cystic fibrosis}, 219700 (3)"	AD//AR
chr1	161487765	161487938	FCGR2A	chr1:161487765-161487938	0.454022989	0.627168	146790	"{Lupus nephritis, susceptibility to}, 152700 (3)/ {Malaria, severe, susceptibility to}, 611162 (3)/ {Pseudomonas aeruginosa, susceptibility to chronic infection by, in cystic fibrosis}, 219700 (3)"	AD//AR
chr1	161518211	161518468	FCGR3A	chr1:161518211-161518468	0.550387597	0.715953	146740	"Immunodeficiency 20, 615707 (3)"	AR
chr1	161633032	161633143	FCGR2B	chr1:161633032-161633143	0.544642857	0.5	604590	"{Malaria, resistance to}, 611162 (3)/ {Systemic lupus erythematosus, susceptibility to}, 152700 (3)"	/AD
chr1	161640042	161640062	FCGR2B	chr1:161640042-161640062	0.619047619	0.5	604590	"{Malaria, resistance to}, 611162 (3)/ {Systemic lupus erythematosus, susceptibility to}, 152700 (3)"	/AD
chr1	161641182	161641439	FCGR2B	chr1:161641182-161641439	0.585271318	0.538911	604590	"{Malaria, resistance to}, 611162 (3)/ {Systemic lupus erythematosus, susceptibility to}, 152700 (3)"	/AD
chr1	161642765	161643019	FCGR2B	chr1:161642765-161643019	0.521568627	0.495407	604590	"{Malaria, resistance to}, 611162 (3)/ {Systemic lupus erythematosus, susceptibility to}, 152700 (3)"	/AD
chr1	161643750	161643863	FCGR2B	chr1:161643750-161643863	0.535087719	0.445428	604590	"{Malaria, resistance to}, 611162 (3)/ {Systemic lupus erythematosus, susceptibility to}, 152700 (3)"	/AD
chr1	161645047	161645103	FCGR2B	chr1:161645047-161645103	0.578947368	0.5	604590	"{Malaria, resistance to}, 611162 (3)/ {Systemic lupus erythematosus, susceptibility to}, 152700 (3)"	/AD
chr1	196714947	196715129	CFH	chr1:196714947-196715129	0.431693989	0.519231	134370	"Basal laminar drusen, 126700 (3)/ Complement factor H deficiency, 609814 (3)/ {Hemolytic uremic syndrome, atypical, susceptibility to, 1}, 235400 (3)/ {Macular degeneration, age-related, 4}, 610698 (3)"	"AD/AR, AD/AR, AD/"
chr1	196716241	196716443	CFH	chr1:196716241-196716443	0.39408867	0.683168	134370	"Basal laminar drusen, 126700 (3)/ Complement factor H deficiency, 609814 (3)/ {Hemolytic uremic syndrome, atypical, susceptibility to, 1}, 235400 (3)/ {Macular degeneration, age-related, 4}, 610698 (3)"	"AD/AR, AD/AR, AD/"
chr1	196744017	196744074	CFHR3	chr1:196744017-196744074	0.396551724	0.736842	605336	"{Hemolytic uremic syndrome, atypical, susceptibility to}, 235400 (3)/ {Macular degeneration, age-related, reduced risk of}, 603075 (3)"	"AR, AD/AD"
chr1	196757346	196757528	CFHR3	chr1:196757346-196757528	0.300546448	0.662088	605336	"{Hemolytic uremic syndrome, atypical, susceptibility to}, 235400 (3)/ {Macular degeneration, age-related, reduced risk of}, 603075 (3)"	"AR, AD/AD"
chr1	196759175	196759357	CFHR3	chr1:196759175-196759357	0.442622951	0.596154	605336	"{Hemolytic uremic syndrome, atypical, susceptibility to}, 235400 (3)/ {Macular degeneration, age-related, reduced risk of}, 603075 (3)"	"AR, AD/AD"
chr1	196788975	196789032	CFHR1	chr1:196788975-196789032	0.482758621	0.5	134371	"{Hemolytic uremic syndrome, atypical, susceptibility to}, 235400 (3)/ {Macular degeneration, age-related, reduced risk of}, 603075 (3)"	"AR, AD/AD"
chr1	196799630	196799812	CFHR1	chr1:196799630-196799812	0.43715847	0.519231	134371	"{Hemolytic uremic syndrome, atypical, susceptibility to}, 235400 (3)/ {Macular degeneration, age-related, reduced risk of}, 603075 (3)"	"AR, AD/AD"
chr1	196800927	196801129	CFHR1	chr1:196800927-196801129	0.39408867	0.683168	134371	"{Hemolytic uremic syndrome, atypical, susceptibility to}, 235400 (3)/ {Macular degeneration, age-related, reduced risk of}, 603075 (3)"	"AR, AD/AD"
chr1	203832791	203832853	SNRPE	chr1:203832791-203832853	0.46031746	0.680108	128260	"Hypotrichosis 11, 615059 (3)"	AD
chr1	203834169	203834247	SNRPE	chr1:203834169-203834247	0.329113924	0.569444	128260	"Hypotrichosis 11, 615059 (3)"	AD
chr1	203839005	203839060	SNRPE	chr1:203839005-203839060	0.392857143	0.25	128260	"Hypotrichosis 11, 615059 (3)"	AD
chr1	207696956	207697354	CR1	chr1:207696956-207697354	0.50877193	0.271566	120620	"[Blood group, Knops system], 607486 (3)/ CR1 deficiency (1)/ {Malaria, severe, resistance to}, 611162 (3)/ {?SLE susceptibility} (1)"	
chr1	207700098	207700274	CR1	chr1:207700098-207700274	0.593220339	0.421875	120620	"[Blood group, Knops system], 607486 (3)/ CR1 deficiency (1)/ {Malaria, severe, resistance to}, 611162 (3)/ {?SLE susceptibility} (1)"	
chr1	207700366	207700468	CR1	chr1:207700366-207700468	0.427184466	0.297386	120620	"[Blood group, Knops system], 607486 (3)/ CR1 deficiency (1)/ {Malaria, severe, resistance to}, 611162 (3)/ {?SLE susceptibility} (1)"	
chr1	207702061	207702146	CR1	chr1:207702061-207702146	0.430232558	0.403922	120620	"[Blood group, Knops system], 607486 (3)/ CR1 deficiency (1)/ {Malaria, severe, resistance to}, 611162 (3)/ {?SLE susceptibility} (1)"	
chr1	207705525	207705743	CR1	chr1:207705525-207705743	0.520547945	0.355505	120620	"[Blood group, Knops system], 607486 (3)/ CR1 deficiency (1)/ {Malaria, severe, resistance to}, 611162 (3)/ {?SLE susceptibility} (1)"	
chr1	207706754	207706933	CR1	chr1:207706754-207706933	0.45	0.333333	120620	"[Blood group, Knops system], 607486 (3)/ CR1 deficiency (1)/ {Malaria, severe, resistance to}, 611162 (3)/ {?SLE susceptibility} (1)"	
chr1	207707542	207707641	CR1	chr1:207707542-207707641	0.43	0.305556	120620	"[Blood group, Knops system], 607486 (3)/ CR1 deficiency (1)/ {Malaria, severe, resistance to}, 611162 (3)/ {?SLE susceptibility} (1)"	
chr1	207713326	207713411	CR1	chr1:207713326-207713411	0.534883721	0.382353	120620	"[Blood group, Knops system], 607486 (3)/ CR1 deficiency (1)/ {Malaria, severe, resistance to}, 611162 (3)/ {?SLE susceptibility} (1)"	
chr1	207715527	207715925	CR1	chr1:207715527-207715925	0.511278195	0.230528	120620	"[Blood group, Knops system], 607486 (3)/ CR1 deficiency (1)/ {Malaria, severe, resistance to}, 611162 (3)/ {?SLE susceptibility} (1)"	
chr1	207718653	207718829	CR1	chr1:207718653-207718829	0.598870056	0.337595	120620	"[Blood group, Knops system], 607486 (3)/ CR1 deficiency (1)/ {Malaria, severe, resistance to}, 611162 (3)/ {?SLE susceptibility} (1)"	
chr1	207718921	207719023	CR1	chr1:207718921-207719023	0.427184466	0.297386	120620	"[Blood group, Knops system], 607486 (3)/ CR1 deficiency (1)/ {Malaria, severe, resistance to}, 611162 (3)/ {?SLE susceptibility} (1)"	
chr1	207720616	207720701	CR1	chr1:207720616-207720701	0.430232558	0.403922	120620	"[Blood group, Knops system], 607486 (3)/ CR1 deficiency (1)/ {Malaria, severe, resistance to}, 611162 (3)/ {?SLE susceptibility} (1)"	
chr1	207724080	207724298	CR1	chr1:207724080-207724298	0.520547945	0.355505	120620	"[Blood group, Knops system], 607486 (3)/ CR1 deficiency (1)/ {Malaria, severe, resistance to}, 611162 (3)/ {?SLE susceptibility} (1)"	
chr1	207725309	207725488	CR1	chr1:207725309-207725488	0.45	0.333333	120620	"[Blood group, Knops system], 607486 (3)/ CR1 deficiency (1)/ {Malaria, severe, resistance to}, 611162 (3)/ {?SLE susceptibility} (1)"	
chr1	207726097	207726196	CR1	chr1:207726097-207726196	0.43	0.305556	120620	"[Blood group, Knops system], 607486 (3)/ CR1 deficiency (1)/ {Malaria, severe, resistance to}, 611162 (3)/ {?SLE susceptibility} (1)"	
chr1	207731883	207731968	CR1	chr1:207731883-207731968	0.534883721	0.382353	120620	"[Blood group, Knops system], 607486 (3)/ CR1 deficiency (1)/ {Malaria, severe, resistance to}, 611162 (3)/ {?SLE susceptibility} (1)"	
chr1	207734084	207734482	CR1	chr1:207734084-207734482	0.511278195	0.230528	120620	"[Blood group, Knops system], 607486 (3)/ CR1 deficiency (1)/ {Malaria, severe, resistance to}, 611162 (3)/ {?SLE susceptibility} (1)"	
chr1	207737209	207737385	CR1	chr1:207737209-207737385	0.593220339	0.44839	120620	"[Blood group, Knops system], 607486 (3)/ CR1 deficiency (1)/ {Malaria, severe, resistance to}, 611162 (3)/ {?SLE susceptibility} (1)"	
chr1	207737477	207737579	CR1	chr1:207737477-207737579	0.427184466	0.297386	120620	"[Blood group, Knops system], 607486 (3)/ CR1 deficiency (1)/ {Malaria, severe, resistance to}, 611162 (3)/ {?SLE susceptibility} (1)"	
chr1	207739183	207739268	CR1	chr1:207739183-207739268	0.418604651	0.744118	120620	"[Blood group, Knops system], 607486 (3)/ CR1 deficiency (1)/ {Malaria, severe, resistance to}, 611162 (3)/ {?SLE susceptibility} (1)"	
chr1	207741169	207741387	CR1	chr1:207741169-207741387	0.520547945	0.465596	120620	"[Blood group, Knops system], 607486 (3)/ CR1 deficiency (1)/ {Malaria, severe, resistance to}, 611162 (3)/ {?SLE susceptibility} (1)"	
chr1	207742404	207742583	CR1	chr1:207742404-207742583	0.45	0.333333	120620	"[Blood group, Knops system], 607486 (3)/ CR1 deficiency (1)/ {Malaria, severe, resistance to}, 611162 (3)/ {?SLE susceptibility} (1)"	
chr1	207743192	207743291	CR1	chr1:207743192-207743291	0.43	0.305556	120620	"[Blood group, Knops system], 607486 (3)/ CR1 deficiency (1)/ {Malaria, severe, resistance to}, 611162 (3)/ {?SLE susceptibility} (1)"	
chr1	207748940	207749025	CR1	chr1:207748940-207749025	0.511627907	0.643137	120620	"[Blood group, Knops system], 607486 (3)/ CR1 deficiency (1)/ {Malaria, severe, resistance to}, 611162 (3)/ {?SLE susceptibility} (1)"	
chr1	207751150	207751548	CR1	chr1:207751150-207751548	0.498746867	0.375209	120620	"[Blood group, Knops system], 607486 (3)/ CR1 deficiency (1)/ {Malaria, severe, resistance to}, 611162 (3)/ {?SLE susceptibility} (1)"	
chr1	207785022	207785198	CR1	chr1:207785022-207785198	0.576271186	0.732955	120620	"[Blood group, Knops system], 607486 (3)/ CR1 deficiency (1)/ {Malaria, severe, resistance to}, 611162 (3)/ {?SLE susceptibility} (1)"	
chr1	207787749	207787834	CR1	chr1:207787749-207787834	0.465116279	0.591176	120620	"[Blood group, Knops system], 607486 (3)/ CR1 deficiency (1)/ {Malaria, severe, resistance to}, 611162 (3)/ {?SLE susceptibility} (1)"	
chr1	207812742	207812754	CR1	chr1:207812742-207812754	0.538461538	0.583333	120620	"[Blood group, Knops system], 607486 (3)/ CR1 deficiency (1)/ {Malaria, severe, resistance to}, 611162 (3)/ {?SLE susceptibility} (1)"	
chr1	210139238	210139358	SYT14	chr1:210139238-210139358	0.52892562	0.68125	610949	"Spinocerebellar ataxia, AR 11, 614229 (3)"	AR
chr1	211836768	211836994	NEK2	chr1:211836768-211836994	0.444933921	0.741519	604043	"?Retinitis pigmentosa 67, 615565 (3)"	AR
chr1	231990485	231990771	DISC1	chr1:231990485-231990771	0.526132404	0.467949	605210	"{Schizophrenia 9, susceptibility to}, 604906 (3)"	
chr1	245005246	245005360	COX20	chr1:245005246-245005360	0.408695652	0.619883	614698	"Mitochondrial complex IV deficiency, 220110 (3)"	"AR, Mitochondrial"
chr1	245006343	245006478	COX20	chr1:245006343-245006478	0.367647059	0.67037	614698	"Mitochondrial complex IV deficiency, 220110 (3)"	"AR, Mitochondrial"
chr1	245018275	245018346	HNRNPU	chr1:245018275-245018346	0.486111111	0.725352	602869	"Epileptic encephalopathy, early infantile, 54, 617391 (3)"	AD
chr2	3623200	3623274	RPS7	chr2:3623200-3623274	0.586666667	0.691441	603658	"Diamond-Blackfan anemia 8, 612563 (3)"	AD
chr2	3623407	3623478	RPS7	chr2:3623407-3623478	0.541666667	0.63615	603658	"Diamond-Blackfan anemia 8, 612563 (3)"	AD
chr2	3624077	3624220	RPS7	chr2:3624077-3624220	0.4375	0.392774	603658	"Diamond-Blackfan anemia 8, 612563 (3)"	AD
chr2	3625300	3625364	RPS7	chr2:3625300-3625364	0.446153846	0.665365	603658	"Diamond-Blackfan anemia 8, 612563 (3)"	AD
chr2	3627700	3627850	RPS7	chr2:3627700-3627850	0.503311258	0.535556	603658	"Diamond-Blackfan anemia 8, 612563 (3)"	AD
chr2	3628395	3628472	RPS7	chr2:3628395-3628472	0.358974359	0.147186	603658	"Diamond-Blackfan anemia 8, 612563 (3)"	AD
chr2	47389425	47389531	CALM2	chr2:47389425-47389531	0.373831776	0.707547	114182	"Long QT syndrome 15, 616249 (3)"	AD
